40," Miss Amalie Henriette ""Emily"" Gieger",35,"Philadelphia, Pennsylvania, US",Southampton,"Philadelphia, Pennsylvania, US",4,N/A,1,1,F
41," Miss Amelia Mayo ""Nellie"" Bessette",39,"New York, New York, US",Cherbourg,"New York, New York, US",8,N/A,1,1,F
42," Miss Amelie ""Amelia"" Icard",38,"New York, New York, US",Southampton,"New York, New York, US",6,N/A,1,1,F
43, Miss Annie Moore Ward,38,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,N/A,1,1,F
44, Miss Auguste Serreplan,30,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,N/A,1,1,F
45, Miss Berthe Leroy,27,"Minneapolis, Minnesota, US",Cherbourg,"Minneapolis, Minnesota, US",2,N/A,1,1,F
46," Miss Ellen ""Nellie"" Barber",26,"London, England, UK",Southampton,"New York, New York, US",6,N/A,1,1,F
47, Miss Ellen Bird,31,"New York, New York, US",Southampton,"New York, New York, US",8,N/A,1,1,F
48, Miss Emilie Kreuchen,29,"St Louis, Missouri, US",Southampton,"St Louis, Missouri, US",2,N/A,1,1,F
49, Miss Emma SÇ÷gesser,24,"Paris, France",Cherbourg,"New York, New York, US",9,N/A,1,1,F
50, Miss Eugenie Elise Lurette,59,"New York, New York, US",Cherbourg,"New York, New York, US",6,N/A,1,1,F
51, Miss Helen Alice Wilson,31,"Tuxedo Park, New York, US",Cherbourg,"Tuxedo Park, New York, US",3,N/A,1,1,F
52, Miss Margaret Fleming,42,"Haverford, Pennsylvania, US",Cherbourg,"Haverford, Pennsylvania, US",4,N/A,1,1,F
53, Miss Mary Anne Perreault,33,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",3,N/A,1,1,F
54," Miss Roberta Elizabeth Mary ""Cissy"" Maioni[69]",20,"Vancouver, British Columbia, Canada",Southampton,"Vancouver, British Columbia, Canada",8,N/A,1,1,F
57, Miss Victorine Chaudanson,36,"Cooperstown, New York, US",Cherbourg,"Cooperstown, New York, US",4,N/A,1,1,F
30, Mr. Charles Augustus Aldworth[59],30,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",N/A,Unknown,1,0,M
21,"Allen, Miss Elizabeth Walton",29,"St Louis, Missouri, US",Southampton,"St Louis, Missouri, US",2,N/A,1,1,F
23,"Allison, Master Hudson Trevor",11 mo.,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",11,N/A,1,1,M
24,"Allison, Miss Helen Loraine",2,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",N/A,Unknown,1,0,F
25,"Allison, Mr. Hudson Joshua Creighton",30,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",N/A,135MB,1,0,M
26,"Allison, Mrs. Bessie Waldo (nÇüe Daniels)",25,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",N/A,Unknown,1,0,F
73,"Anderson, Mr. Harry",47,"New York, New York, US",Southampton,"New York, New York, US",3,N/A,1,1,M
87,"Andrews, Miss Kornelia Theodosia",62,"Hudson, New York, US",Cherbourg,"Hudson, New York, US",10,N/A,1,1,F
88,"Andrews, Mr. Thomas[60]",39,"Belfast, Ireland, UK",Belfast,"New York, New York, US",N/A,Unknown,1,0,M
92,"Appleton, Mrs. Charlotte Lane (nÇüe Lamson)",53,"New York, New York, US",Southampton,"New York, New York, US",2,N/A,1,1,F
96,"Artagaveytia, Mr. Ramon",71,"Buenos Aires, Argentina",Cherbourg,"New York, New York, US",N/A,22MB,1,0,M
109,"Astor, Colonel John Jacob IV",47,"New York, New York, US",Cherbourg,"New York, New York, US",N/A,124MB,1,0,M
110,"Astor, Mrs. Madeleine Talmage (nÇüe Force)[61][62]",18,"New York, New York, US",Cherbourg,"New York, New York, US",4,N/A,1,1,F
113,"Aubart, Mrs. LÇüontine Pauline[63]",24,"Paris, France",Cherbourg,"New York, New York, US",9,N/A,1,1,F
133,"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK",Southampton,"New York, New York, US",B,N/A,1,1,M
137,"Baumann, Mr. John D.",60,"New York, New York, US",Cherbourg,"New York, New York, US",N/A,Unknown,1,0,M
